bundesland,diesel,e5,e10,date
Mecklenburg-Vorpommern,2.1805140266021765,2.0491518742442563,1.9376652962515115,2022-03-27 00:00:00
Niedersachsen,2.1719817300008266,2.064044173165422,1.8890411695004,2022-03-27 00:00:00
Nordrhein-Westfalen,2.158667010478796,2.0773560847272674,1.98664538021137,2022-03-27 00:00:00
Rheinland-Pfalz,2.1506983747215576,2.0756591865357645,1.9979038858180016,2022-03-27 00:00:00
Saarland,2.150454277286136,2.079262536873156,1.973882005899705,2022-03-27 00:00:00
Sachsen,2.1722874804381846,2.1096257433489827,1.996673474178404,2022-03-27 00:00:00
Sachsen-Anhalt,2.167202122232425,2.0764325068870524,1.92030282624222,2022-03-27 00:00:00
Schleswig-Holstein,2.176295876864184,2.072592551240131,1.9114507536486165,2022-03-27 00:00:00
Thüringen,2.1830848972296693,2.1106255585344056,1.943659294012511,2022-03-27 00:00:00
bundesweit,2.172646267224151,2.0878010906437363,1.9726100636373192,2022-03-27 00:00:00
Baden-Württemberg,2.1814692539068683,2.110958545355859,2.022856842390936,2022-03-28 00:00:00
Bayern,2.1887557584353834,2.0912624408174683,1.9618780190582736,2022-03-28 00:00:00
